libdvdnav 6.1.1-2.1
libdvdread 6.1.3-2.1
libebur128 1.2.6-2.1
libedataserverui4 3.56.2-1
libedit 20250104_3.1-1.1
libei 1.4.0-1
libelf 0.193-2
libepoxy 1.5.10-3.1
libevdev 1.13.4-1.1
libevent 2.1.12-4.1
libexif 0.6.25-1.1
libfdk-aac 2.0.3-1.1
libffi 3.4.8-1.1
libfontenc 1.1.8-1.1
libfreeaptx 0.2.2-1.1
libgcrypt 1.11.1-1.1
libgcrypt15 1.5.6-6
libgdata 0.18.1-4.1
libgdm 48.0-2.1
libgedit-amtk 5.9.1-1.1
libgedit-gfls 1:0.3.0-1.1
libgedit-gtksourceview 299.5.0-2.1
libgedit-tepl 6.13.0-1.1
libgee 0.20.8-1.1
libgexiv2 0.14.5-1.1
libgirepository 1.84.0-1.1
libgit2 1:1.9.0-2.1
libglvnd 1.7.0-1.1
libgme 0.6.4-1.1
libgoa 3.54.3-1.1
libgpg-error 1.55-1.1
libgphoto2 2.5.31-4.1
libgsf 1.14.53-2.1
libgtop 2.41.3-2.1
libgudev 238-3.1
libgusb 0.4.9-2.1
libgweather-4 4.4.4-2.1
libgxps 0.3.2-5.1
libhandy 1.8.3-2.1
libharu 2.4.5-1.1
libheif 1.19.8-1.1
libibus 1.5.32-1.1
libical 3.0.20-2.1
libice 1.1.2-1.1
libidn 1.43-1.1
libidn11 1.33-2
libidn2 2.3.7-1.1
libiec61883 1.2.0-8.1
libieee1284 0.2.11-18.1
libimagequant 4.3.4-1
libimobiledevice 1.3.0-16.1
libimobiledevice-glue 1.3.1-1.1
libindicator-gtk2 12.10.1-10
libinih 58-1.1
libinput 1.28.1-1.1
libinstpatch 1.1.7-2.1
libiptcdata 1.0.5-4.1
libisl 0.27-1.1
libjpeg-turbo 3.1.0-1.1
libjpeg6-turbo 1.5.3-2.1
libjuice 1.6.0-1.1
libjxl 0.11.1-3.1
libksba 1.6.7-2.1
liblc3 1.1.3-1.1
libldac 2.0.2.3-2.1
libldap 2.6.10-1.1
liblouis 3.33.0-1.1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
libltc 1.3.2-2.1
libluv 1.48.0_2-1.1
libmalcontent 0.13.0-1.1
libmanette 0.2.12-1.1
libmaxminddb 1.12.2-2.1
libmbim 1.32.0-1.1
libmd 1.1.0-2.1
libmediaart 1.9.7-1.1
libmicrodns 0.2.0-2.1
libmikmod 3.3.13-1.1
libmm-glib 1.24.0-1.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-6.1
libmpc 1.3.1-2.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-10.1
libmtp 1.1.22-1.1
libmypaint 1.6.1-2.1
libmysofa 1.3.3-1.1
libnautilus-extension 48.2-1.1
libnbd 1.22.1-2.1
libndp 1.9-1.1
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-1.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-3.1
libnftnl 1.2.9-1.1
libnghttp2 1.65.0-1.1
libnghttp3 1.10.1-1.1
libngtcp2 1.12.0-1.1
libnice 0.1.22-2.1
libnl 3.11.0-1.1
libnm 1.52.0-1
libnma 1.10.6-3.1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.6-1.1
libnsl 2.0.1-1.1
libnvme 1.13-1
liboauth 1:1.0.3+r16+gc26f038-2.1
libogg 1.3.5-2.1
libopenmpt 0.8.0-1.1
libopenraw 0.3.7-2.1
libosinfo 1.12.0-2.1
libp11-kit 0.25.5-1.1
libpaper 2.2.6-1.1
libpcap 1.10.5-2.1
libpciaccess 0.18.1-2.1
libpeas 1.36.0-7.1
libpgm 5.3.128-3.1
libphonenumber 1:9.0.4-2.1
libpipeline 1.5.8-1.1
libpipewire 1:1.4.5-1.1
libplacebo 7.351.0-1.1
libplist 2.6.0-2.1
libpng 1.6.48-1.1
libpng12 1.2.59-2.1
libportal 0.9.1-2.1
libportal-gtk3 0.9.1-2.1
libportal-gtk4 0.9.1-2.1
libppd 2.1.1-1.1
libproxy 0.5.9-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r43+g3e2bb8a1e-1.1
libpwquality 1.4.5-6.1
libqmi 1.36.0-1.1
libqrtr-glib 1.2.2-4.1
libraqm 0.10.2-1.1
libraw 0.21.4-1.1
libraw1394 2.1.2-4.1
librest 0.9.1-3.1
librsvg 2:2.60.0-2.1
librsync 1:2.3.4-2.1
librtmp0 2.4-6.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5.1
libshumate 1.4.0-1.1
